"Name","Acronym","No. INSCRIP-TION","DATE DE RECONNAISSANCE","Contact person","Address","Website","Tel","Base country of org","Sector","Location","Ali's notes","NATIONALITE","No. DU MONITEUR","Notes"
"Union des Chretiens pour l'Epanouissement et le Developpement Socio-Spirituel","UCEDESS/SUD'OUEST",,,"France Paulo","Berquin, Miragoane",,"411-3221","Haiti",,,,,,
"Organisation Paysanne pour le developpement de Berrette","OPADEBER",,,"Léonel Estin","berrette Cavaillon, 5eme setion",,"3600-7452","Haiti",,,,,,
"Organisation des Paysans pour le Developpement de Berrette","OPADEB",,,"M Estin Léonel/Président","Berrettte, 5eme section communale de Cavaillon",,"3717-8402","Haiti",,,,,,
"Organisation Chretienne pour l'Action Humanitaire et de Developpement Intégral","OCAHDI",,,"______________","Beudet 7, dairette # 222, Croix- des-Bouquets",,,"Haiti",,,,,,
"Conscience Citoyenne pour la Protection de l'Environnement d'Haiti","COCIPEH",,,"Niclas Ansy ( Président)","Bibliothèque Communautaire de fonds-Parisien",,"3717-4703","Haiti",,,,,,
"Collectif des Rivarbonitiens pour le Développement","CORID",,,"Cerismond Mauril","bibliotheque de l'Amitié, 101rue Louverture",,"3448-8674","Haiti",,,,,,
"Association des Jeunes Hinchois pour la Progression d'Haiti","ASSOJEHPH",,,"Guerrier jaunas","Bicentenaire Village de Dieu 20, central à l'interieur",,"495-9931","Haiti",,,,,,
"Renforcement des Dignités Haitiens pour le Changement","RDHC",,,"Armant Frantz","Bicentenaire Village de Dieu, rue Central # 35",,,"Haiti",,,,,,
"Mouvement Evangelique pour le Developpement Réel en Haiti","MEDRHA",,,"Done Jour Jean Onon","Bicentenaire, 2eme imp. La Paix # 120",,"3418-3525","Haiti",,,,,,
"Voix des Jeunes pour le Developpement Social","VOJEDES",,,"Jean Pierre Faubert","Bicentenaire, Village de Dieu, rue la Nattivité",,"452-0545","Haiti",,,,,,
"Organisation des  Paysans pour le Developpement de Chemin-Neuf et des Zones Avoisinantes","OPDCZA",,,"Orilson Désulmé","Bienac 5, imp Amitié # 24, Gonaives",,"557-2528","Haiti",,,,,,
"Des Bienacois Avisés pour un Bienac Emancipé","BABE",,,"Philippe Djémina","Bienac5, ruelle Amitié # 11",,"851-2692","Haiti",,,,,,
"Association des Parents du Centre Rural d'Education Populaire de Bigrade","CREP.BIGRADE/G-A",,,"Josie Joseph","Bigrade",,,"Haiti",,,,,,
"Mouvman pou Devlopman Timoun nan Maka","MODETMA-SUD'EST",,,"Isner Silverin","Bitasyon Platon desira",,,"Haiti",,,,,,
"Mouvman Peyizan Gran Dans","MPGA",,,"Dionald Polyte","biwo Lyezon Jeremi",,"3753-4919","Haiti","Agriculture",,,,,
"Action Concertée pour la Protection de la Personne Humaine et de l'Environnement","ACPROPHE",,,"Lundi Joseph Philippe","Bizoton 51, impasse Blot # 55",,"3610-43-6","Haiti","Environment",,,,,
"Association des Videographes Professionnels d'Haiti","AVPH",,,"Charles Angela,","Bizoton 53 # 38",,"426-2673","Haiti",,,,,,
"Front Collectif pour le developpement Social et Communautaire","FCDSC",,,"Louis Charles","Bizoton 53 # 61 bis imp H Typpinhawer",,"670-4789","Haiti",,,,,,
"Organisation de Developpement et de Fraternité","ODF",,,"Aliance Jean-Baptiste","Bizoton 53 prolongée",,,"Haiti",,,,,,
"Action Sociale pour le Développement","ASPD",,,"Sinclus Joseph","Bizoton 53, Chaud d'Eau "" Renouvellement""",,"3465-9565","Haiti",,,,,,
"Association Vision  Humanitaitre","ASSOVIH",,,"Pierre Milot Accime","Bizoton 53, imp. Normand # 118, HT 6131",,"414-6791","Haiti","Women's Programs",,,,,
"Coopération des Habitants de Chaud-Eau pour le developpement","COCHADEV",,,"Aubry Pierre Frantz","Bizoton 53, prolongée chaud-Eau, imp union # 26",,"3434-1973","Haiti",,,,,,
"Organisation de l'Union Fraternelle pour l'Evolution d'Haiti","OUFEH",,,"Larmatine André","Bizoton 53, rue Babriel # 148",,"3733-6348","Haiti",,,,,,
"Asosyasyon Ti Moun San Fanmi Yo","ATSF",,,"Philippe GESTEY","Bizoton 55 prolongée # 19",,"3757-9243","Haiti","Children & Youth",,,,,
"Association Nouvelle Unité pour le Redressement de Carrefour","NOUREDCA",,,"Marcelin Paul Edmond","Bizoton 55, route de Carrefour",,"3726-3454","Haiti",,,,,,
"Organisation des Pêcheurs Haïtiens pour le Développement","OPHHD",,,"Senor Maxi","Bizoton 6 # 3 Rte de carrefour",,"234-4134","Haiti",,,,,,
"Inisyation pour Lavi Miyò","INIVIM",,,"Auguste Marie Marthe Kerline","Bizoton 61 en face Pharmacie Notre Dame du Sacré",,,"Haiti",,,,,,
"Organisation pour la Formation des jeunes et des Adultes","OFOJA",,,"______________","Bizoton 61 et Diquini 63, route de carrefour",,,"Haiti",,,,,,
"Organisation Debora Contre la Faim","ADCOFA",,,"Thérèse Neptune","Bizoton, Carrefour",,,"Haiti",,,,,,
"Groupe d'intervention et de Soutien Familial","GRIS FAM",,,"Danilot jean Charles","Bizoton, Carrefour",,"3635-0567","Haiti",,,,,,
"Organisation Paysanne Cinquième Peitit-Goave/Ouest","OPCP/O",,,"Colas Samuel","Blaise Petit Goave, Haiti ( w-i)",,,"Haiti",,,,,,
"Comité des Femmes et Enfants de la Commune de Cité Soleil","COJEFECCS",,,"Emice Jean Louis","Blanchard # 53, rue Desronds, route nle # 1",,"3860-7097","Haiti",,,,,,
"Partenaires dans le Developpement/Partners In Development","PID",,,"Hull Gate","Blanchard, route de Damien, 6 rue Oriel, P-au-P",,"455-3191","Haiti",,,,,,
"Groupe d'Action des Notables pour le Developpement Economique et Social","GRANDES",,,"Maxon Rilbert","Blanchard, rue Samaire",,,"Haiti",,,,,,
"Organisation Grand'Anse en Action","OGAA-GRAND'ANSE",,,"Methelis Martineau","Blersaille # 98",,,"Haiti",,,,,,
"Organisation pour le Developpement de Bleu-Hilles","OPDB-NORD",,,"Paul Herold","Bleu-Hilles, section du Haut du Cap",,,"Haiti",,,,,,
"Oragnisation pour le Développement et la Réhabilitation Evironnementale","ORDRE",,,"Wesley Cesar","Bloc Ste Hélaine, rue Merisier Jeannis",,,"Haiti",,,,,,
"Comité d'Aide et de Développement de Dussaulier","CADD",,,"Raoul VINCENT","Blockhauss 1, St-Marc (derrière l'EDH), BP.026, St-Marc",,"279-1023","Haiti","Agriculture, Education, Health",,,,,
"Mouvement Viva Haiti","MOVIHT",,,"Roberto Daniel Dorveil","Blockoss I # 71, Saint-Marc",,"3486-7257","Haiti",,,,,,
"Centre d'Etude et d'Action Citoyenne","CEAC-SUD",,,"Jean Joseph François","BLV 4 Chemins/Cayes",,"3458-2955","Haiti",,,,,,
"Organisation des Femmes Paysannes de Mirebalais","OPEPAM",,,"Jerome Benite","BLV J.J. Dessalines, Mirebalais",,"476-3017","Haiti","Women's Programs",,,,,
"Konbit Jèn Kretyen k'Ap Ede Timoun Kazo","KJKETK",,,"Claude Calixte","Blvd 15 Oct, Tabarre # 15",,"3470-5596","Haiti","Children & Youth",,,,,
"Association des Professionnels Chretiens pour le Developpement des Milieux Défavorisés","APROCH",,,"Casimir William","Blvd 15 Octobre 26, rue Innovation",,"418-1802","Haiti",,,,,,
"Solidarité pour la Bienfaisance","SB",,,"François Noel","blvd 15 Octobre, Tabarre 10 # 12",,"791-0068","Haiti",,,,,,
"Rasseblement des Forces Integrés pour le developpement","RAFID",,,"Joseph Malio","Blvd 15 Octobre, Tabarre 39 # 39k",,"469-3819","Haiti",,,,,,
"Association pour le Developpement de Tabarre","ADET",,,"Louis Jeune Jn Hubert","Blvd 15 Octobre, Tabarre 39 k troutier rue Narcissce # 11",,"513-2322","Haiti",,,,,,
"Jeunes Artistes Humanistes Animistes","JAHA",,,"Lefort Marc Audjon","BLVD 15 Octobre,Tabarre 14, Cazeau # 73",,"3776-2577","Haiti","Arts & Culture",,,,,
"Intégration de la Masse Organisée pour le Changement et le Developpement d'Haiti","IMOCDH",,,"Pierre Vil Saindor","Blvd Harry Truman # 48 A, rue Mandela P-au-P",,"3619-0686","Haiti",,,,,,
"Comité de Quatier de Bincentenaire","CQB",,,"Oriol Schnèder","BLVD Harry Truman en face centre Chesckio Bicentenaire",,,"Haiti",,,,,,
"Mouvman Teyat Ayisyen","MTA",,,"Alin Augustin","Blvd Harry Truman, local Teatre nationale",,"3903-7512","Haiti","Arts & Culture",,,,,
"Association Villa des Enfants Démunis d'Haiti","VEDHA",,,"_______________","BLVD Harry Truman, Village de Dieu, rue Mandela, Imp. La Foi # 7",,"450-8722","Haiti","Children & Youth",,,,,
"Association des Jeunes pour l'Epanouissement et le","AJEED",,,"Frantz Lebrun","Blvd J.J. Dessalines # 508",,"557-0978","Haiti",,,,,,
"Association Culturelle pour le Developpement de Desdunes","ACUDED",,,"Clenord Alton","Blvd J.Jacques Dessalines, Artibonite Desdunes",,"3662-9990","Haiti","Arts & Culture",,,,,
"Associatin des Jeunes Professionnels pour l'Encadrement des Enfants de Rue","AJPEER",,,"Saintama Fritznel","Blvd Jean Jacques ddessalines 46, Martissant 17",,"707-2771","Haiti","Children & Youth",,,,,
"Association des Ateliers Coupe et Confection des Anciens Professionels de Don Bosco","ACPRODOB",,,"Paul Vilier","BLVD Jean Jacques Dessalines # 12",,"3446-7538","Haiti","Economic Development",,,,,
"Organisation des Jeunes pour une Culture Parfaite","OJCPAR",,,"Léo Richard","BLVD JJ Dessalines # 740",,"856-4471","Haiti","Arts & Culture",,,,,
"Conscieuce et Resistance des Droits de l'Hommes","COREDHO",,,"Mr Lubin Emmanuel","BLVD Jn Jacques Dessalines 752",,"645-5596","Haiti","Human Rights",,,,,
"Association des Chauffeurs de Taxis Professionnels de Port-au-Prince","ACTPP",,,"Anthony Harry","BLVD la Saline, Station Gonaives",,"404-8227","Haiti",,,,,,
"Organisation des visionnaires Professionnels de Marin","VIPROMAR",,,"Jeune Adva / Président","Blvd Marin 22, Rue Thomas # 24 bis",,"3725-3152","Haiti",,,,,,
"Réseau des Femmes en Action pour le Progrès","REFAP",,,"Barthelemy Murlande","Blvd Toussain Louverure,l entrée BNC, rue Simon 4",,"3585-9729","Haiti","Women's Programs",,,,,
"Initiatve des Citoyens pour le Developpement du Bloc I","ICID BLOC I",,,"Premice Elissaint Jean Roosvelt","Blvd Toussaint Louverture, entrée BNC rue Frère Simon 6 # 125",,"3611-4383","Haiti",,,,,,
"Mouvement d'Aide aux Enfants des Rues","MAER/H",,,,"Blvd Toussaint Louverture, impasse Ermot, village Solidarité",,"3679-0588","Haiti",,,,,,
"Konbit pou Devlopman Bolk 1","KODB1",,,"Jean Kendy Norvillus","Blvd Toussaint Louverture, rue Simon 2 # 6A",,"559-0952","Haiti",,,,,,
"Comité de Gestion d'Eau Potable Village Solidarité","COGEPVIS/CAMEP",,,"Edouard Higuens","Blvd Toussaint Louverture, Village Solidarité",,"3703-4678","Haiti",,,,,,
"Fondation Haitienne pour la Formation en Information et en couture","FHFIC",,,"Mme Mamise Jean","BLVd Toussaint Louverture, Village solidarité rue 2 # 8",,,"Haiti",,,,,,
"Ministère d'Orientation Chretienne Sociale et Humanitaire","MOCSH",,,"___________","BLVD ToussaintL., rue Frère Simonds 2 # 16",,"3781-9372","Haiti",,,,,,
"Association Nationale des Scouts Eclaireurs d'Haïti","ANSEH",,,"Mme. Joseph DANTES","Blvd. Harry Truman Bloc Education Nle",,"222-7538","Haiti","Education, Health",,,,,
"Fondation Internationale Lifeline Haïti","FILH",,,"Esther ROCOURT      Ducheine FORTUNE","Blvd. Harry Truman Immeuble Assocation des Chauffeurs Guides d'Haïti, BP11320, Carrefour",,"2341619  ","Haiti","Health, Agriculture, Education",,,,,
"Fondation Haïtienne de Secours Mutuel ","FHSM",,,"Fedna JEAN COLIGNON","Blvd. Harry Truman, Imp. Laperfection # 1",,"222-6843","Haiti","Agriculture",,,,,
"Centre de Compassion pour les Enfants Demunis","CECODE",,,"Saintil Wilson","Blvrd Harry Truman 3eme Rlle Plus 43",,,"Haiti","Children & Youth",,,,,
"Organisation Independante pour le Developpement et l'Embellissement du Bicentenaire","OIDEB",,,"Cenatus Yvena","Blvrd Harry Truman, imp Pélé # 24 Bicentenaire",,"3716-0005","Haiti",,,,,,
"Organisation Bambou en Action","OBA/SUD",,,"Dessappe Rose Gertha Delva /  Présidente","Bmbou, Sud",,"3498-2794","Haiti",,,,,,
"Association des Jeunes pour le developpement de Kristine ( sud)","AJDEK/SUD",,,"Hilaire Rosely","BNS",,,"Haiti",,,,,,
"Combite Espoir Vie Agricole Cornillon Grand-Bois","CEVAG",,,"Pierre L. Alphonse","Bobun, route nationale à l'interieur mainson Alphonse Pierre Louis # 26",,,"Haiti","Agriculture",,,,,
"Association des Planteurs de Platon Boché","APPB",,,"Estimable Jean Augulien","Boché, 3eme section communale de Platon, Marmelade",,"3797-0959","Haiti","Agriculture",,,,,
"Union des Chretiens Protestants en Action de Légâne","UCPAL",,,"Adrien Joseph  Noël","Bois au Bée 11e section Gros Morne",,"3699-8509","Haiti",,,,,,
"Association des Paysans en Action pour le Developpement de Ganthier","OPADG",,,"Ulisse Jean Martine","Bois Blanc # 2 Ganthier",,"3868-8073","Haiti",,,,,,
"Mouvement pour l'Action Collective et le Sauvetage de Bois Galette","MACSB",,,"Cené Jean Paulivil","Bois Galette # 2",,"3683-8876","Haiti",,,,,,
"Organisation des Jeunes Travailleurs de Pernier","OJTP",,,"Rodrigue Bouzy","Bois Greffin, Pernier",,,"Haiti",,,,,,
"Groupe de Reflexion et d'Action pour l'Epanouissement de la Commune de Cite Soleil","GRAECS",,,"Sophonoe Chery","Bois Neuf cite Soleil # 15",,"3429-6535","Haiti",,,,,,
"Lutte des paysans du Nord pour le Développement Rural","LPNDR",,,"Etienne Jean","Bois Neuf, première section Communale de St Raphael",,,"Haiti",,,,,,
"Association des Jeunes Citoyens Progressistes du Canape-Vert","AJCPCV",,,"Asson Lindor","Bois Patate 25, Canape-Vert",,"402-9486","Haiti","____________",,,,,
"Aide Humanitaire pour l'Avancement de la Communauté Paysanne","AHACP",,,"Cantave Tamara","Bois Tombé",,"3602-1846","Haiti","Other",,,,,
"Asosyasyon Katye Bwa Vèna","AKABV",,,"Louis Odnis","Bois Verna",,,"Haiti",,,,,,
"Organisation Vision Juvénule","VJ",,,"Monique L. Mazile","Bois Verna",,,"Haiti",,,,,,
"Groupe d'Action et de Reflexion pour la Protection et le Developpement del'Environnement du Departement de l'Ouest","GRADOPE",,,"Casséus Marc Forest","Bois Verna # 49",,"486-0703","Haiti",,,,,,
"Komite Tet Ansanm nan Bwa Vèna","KOPBV",,,"Jean Micheline","Bois verna, imp Rigaud # 9",,"3621-7910","Haiti",,,,,,
"Mouvement Gonaiviens pour le Developpement","MOGOD",,,"Ernso Louissaint","BoisCrédit, Anse-à-Galets",,,"Haiti",,,,,,
"Organisation des Genies Barda","OGB",,,"Altidor Pierre Nicolas","Bois-Patate, rue Renne # 28",,"3494-4014","Haiti",,,,,,
"Association pour le Développement de la Communauté Boispin Monrepos","ADCBM",,,"Joseph à Galet","Boispins, Monrepos, Lemite 9eme sect. Commune Pointe",,"3724-4114","Haiti",,,,,,
"Revelation des Jeunes Talentieux pour Rehausser la Culture Haitienne","REJTARCHA",,,"Gué Verlien","Bois-Verna, ruelle Jeune # 23",,"3443-1089","Haiti",,,,,,
"Organisation des Jeunes Actifs de Bombadopolis","OJAB",,,"Raspard Ulysse","Bombadopolis",,,"Haiti",,,,,,
"Association des Paysans d'Agriculteurs de Bombardopolis","APAB/NORD'OUEST",,,"Exempt Valbrun / Coord.","Bombardopolis, Habitation Floxi, Nord'Ouest",,"3835-2124","Haiti","Agriculture",,,,,
"Action de la Jeunesse pour  l'Intégration et le renouveau de Bombardopolis","AJIRDEB",,,"Joseph Pierre Monique","Bombardopolis, rue St. François d'Assises Nord'Ouest Haïti Annexe:9 Avenue Martin Luther King Port-au-Prince",,,"Haiti",,,,,,
"Konbit Plantè pou Devlopman","KPD",,,"Alexis Clerius","Bomon Grand'Anse",,"3829-5014","Haiti","Agriculture",,,,,
"Consertation des Citoyens du Sud pour le Developpement Durable","COCISDED",,,"Desir Jean Dit Auguste","Bompas 4eme section communale de Tiburon, Anexe Waney 93, Source Corosol, rue Vilaire",,"3558-3812","Haiti",,,,,,
"Association Croisade Delivrance pour les Haitiens","ASCDPH",,,"Cenacle Claude","Bon repos # 46",,"493-2806","Haiti","Other",,,,,
"Fanm an Aksyon pou yon Demen Miyò","FADEMI",,,"Louis Marie Mikelande","Bon Repos à Coté G S # 2 bis",,"3708-2237","Haiti","Women's Programs",,,,,
"Association Union des Frèresde Bons Repos","AUFREB",,,"_______________","Bon Repos imp. Des Fleurs , Port-au-Prince",,"453-4005","Haiti",,,,,,
"Centre Haitien d'Appui au Developpement et à l'Expression Culturelle","CHADEC",,,"Berthony Jolibois","Bon repos, Haiti",,,"Haiti",,,,,,
"Association des Professionnels en Matière Artisanale","APMA",,,"_______________","Bon Repos, Lathan # 80 Bis",,,"Haiti","_______________",,,,,
"Centre Preventif des Maladies Parodontales","CPMP",,,"Idell Medar","Bon Repos, Lilavois 50 Ruelle Medar # 5",,"463-3162","Haiti","Health",,,,,
"Promotion de la Jeunesse Haitienne pour le Developpement Durable","PROJEUNHADED",,,"Emmanuel Frantz","Bon Repos, Lilavois 8 # 4",,"3488-7731","Haiti",,,,,,
"Alo Timoun","AT",,,"Lavoile Zacary","Bon Repos, Lyson 22, ruelle Justin # 51",,"3732-8613","Haiti","Children & Youth",,,,,
"Organisation Espoir Continu pour Haiti","OECH",,,"Eloi Jean Elade","Bon Repos, Mouleard 7, impasse Jean Feret",,"3751-8201","Haiti",,,,,,
"Coopération des Animateurs pour le Développement Communautaire","CADEC-HAITI",,,"Eluis Lucner","Bon repos, Rosembert 2",,,"Haiti",,,,,,
"Fòk Youn Kenbe Men Lòt","FYKML",,,"Jean Joannés","Bon Repos, route Nationale # 1, rue Libellule # 9",,,"Haiti",,,,,,
"Solidarité Intégrale au Developpement Regional","SIDRE",,,"Eben-Ezer Lilite","Bon Repos, rue Dorméusm, impasse Vero Ruelle de la Paix # 29",,,"Haiti",,,,,,
"Unité Nationale des Hommes Conséquents pour le Développement intégral","UNHOCODI",,,"Norcilus Amos / Président","Bon Repos, rue MBC # 46",,"3405-5688","Haiti",,,,,,
"Alliance des Volontaires Intégrés pour l'Orientation d'une Haiti Nouvelle","AVIOHN",,,"Roselaine Alphonse Justafort","Bon Repos,Lizon Rte Nationale # 1, 3 Village Dorcé",,"375-3473-","Haiti","Other",,,,,
"Mouvement des Planteurs de fonds Verrettes Contre la Faim","MOPFOFA",,,"Noë derilus","Bonhomme, Fonds-Verrettes",,"3755-5476","Haiti","Agriculture",,,,,
"Mouvman Plantè La Kay","MOPLA",,,"Charles Jean Max  /  Président","Bonnette, Route Malpasse # 36",,"3511-1465","Haiti","Agriculture",,,,,
"Ecole des Stars Haitiennes Engagées pour la Transformation Ideologique et Culturelle","ESTHETIC",,,"Wedly Louis Charles","Bon-Repos # 39, rte nationale # 1, Lilavois 2",,"3787-5168","Haiti","Arts & Culture",,,,,
"Fond Haitien de l'Art et de Developpement","FOHARDEV",,,"deshommes Presengloire","Bon-Repos, rue Avant, Teleco # 10 bis rte nale # 1",,"3761-8307","Haiti",,,,,,
"Initiative des Jeunes pour le Progrès de Bord de Mer de Limonade","IJPROBLI/NORD",,,"______________","bord de Mer de Limonade, Bas Canal",,"771-7598","Haiti",,,,,,
"Asosyasyon Pechè Decide Ansapit","APDA-SE",,,"Claude Ricardo","Bord-de-mer, Anse A Pitre",,"3684-0868","Haiti","Agriculture",,,,,
"Reseau des Jeunes Educateurs en Droits Humains","REJEDH GRAN-ANSE",,,"Alfred Altagrace","Bordes # 35",,,"Haiti","Human Rights",,,,,
"Coordination Femme du Borgne","COFAB",,,"Richard Viergina","Borgne",,,"Haiti","Women's Programs",,,,,
"Association des Jeunes de Molas","AJMOLAS",,,"Sainrilien Eric / Coord.Gnle","Borgne, Nord "" Renouvellement""",,"3432-0497","Haiti",,,,,,
"Organisation des Jeunes Grand-Boisiens pour le Developpement et la Protection de l'Environnement","OJGDEPE",,,"Chery vital","Boucan Bois-pin Saint-Pierre( Grang-Bois)",,"2224-4179","Haiti",,,,,,
"Association des Jeunes en Action pour le Developpement de la 11eme Section ( La Gonave)","AJADOSO",,,"Gabriel Vadner","Boucan Lamarre, 11eme Section la Gonave",,"796-9874","Haiti",,,,,,
"Association des Jeunes pour l'Avancement Continu des Cotes de Fer","AJACCO",,,"St Hubert Rosirus","Boudon, 3eme seksyon Kòtfè",,"3475-1294","Haiti",,,,,,
"Mouvement pour le Developpement et la Protection de l'Environnement National","MODEPEN",,,"Nicole Jolette","Boudon, rue Gainier imp Dumond # 8A",,"256-7291","Haiti",,,,,,
"Konsantman Fanm Boujoli","KFB/SUD",,,"Altenor Marie Auguste","Boujoly 9eme Section commune des Cayes",,,"Haiti","Women's Programs",,,,,
"Organisation pour l'Avancement des Enfants Méprisés du Sud","OLEMS",,,"DorvilusAnneau","Boulemien, rte Nationale # 2",,"3707-4326","Haiti","Children & Youth",,,,,
"Plan Intégral pour le Bien-Etre","PIB",,,"Brisseau St Jacques","Boulevard  Toussaint Louverture, impasse Action, Windos # 19",,"3739-5277","Haiti",,,,,,
"Mouvement pour l'Encadrement Social de la Jeunesse Haitienne","MESJH",,,"M Jocelyn Armand / Coord.","Boulevard 15 Octobre",,"3413-6351","Haiti",,,,,,
"Organisation d'Aide pour les Enfants Défavorisés de l'Arcahaie","ORAENDA",,,"Elizabeth Foreste","Boulevard 15 Octobre # 94",,,"Haiti","Children & Youth",,,,,
"Action d'Aide aux Démunis pour le Developpement","ASADD",,,"Yonel Pierre","Boulevard 15 octobre Cazeau imp. Daniel # 6",,"726-4243","Haiti","Other",,,,,
"Action Sanitaire","ACSA",,,"Telemaque Israël","boulevard 15 Octobre, rue Atenise # 4",,"3480-8010","Haiti","Health",,,,,
"Organisation des Haitienne pour le Developpement des Enfants","OHADED",,,"St Cyr Gerson Stervy","Boulevard de la Liberation # 210 à l'Esthere l'Artibonite",,,"Haiti",,,,,,
"Organisation pour l'Avancement de Cheveau Lombard","ORACHEL",,,"André Cajuste","Boulevard des Lombardiens rue du Marcheveau",,,"Haiti",,,,,,
"Fédération des Organisations Paysannes pour le Développement de la Coupe Madigras Saut d'Eau","FEOPDECMAS",,,"Genet Volcuis","Boulevard Grande-Hatte # 25",,"3705-1035","Haiti",,,,,,
"Organsation Gonaiviennes pour le Developpement Economique","OGDEC",,,"Bernard Michel","Boulevard Isaac, Bas Bureau # 15, Anse à Galet, La Gonâve",,"558-6285","Haiti",,,,,,
"Association Inter-Scolaire du Jeu de Dames","ADJI",,,"Verdieu Hubertson","Boulevard Jean Jacques Dessalines # 618",,"3564-2124","Haiti","Arts & Culture",,,,,
"Organisation des Femmes Paysannes  de Mirebalais","OFEPAM",,,"Jérôme Bénite","Boulevard JJ Dessalines,Mirebalais Haiti",,"476-3017","Haiti","Women's Programs",,,,,
"Force des Citoyens Engagés pour le Developpement de l'Artibonite","FECIDA",,,"Estimable Wadson","Boulevard Pont Sondé",,"3743-3866","Haiti",,,,,,
"Mouvement d'Integration et de Renforcement aux Initiatives Paysannes","MIRIP/SUD",,,"Augustin Kesnel","Boulmier, 6eme section communale des Cayes",,"3659-2016","Haiti",,,,,,
"Mouvement d'Intégration et de Renforcement aux Initiatives Paysannes","MIRI/SUD",,,"Augustin Kesnel","Boulnier, 6eme section communale",,"3659-2016","Haiti",,,,,,
"Centre d'Appui Pédagogique","CAP",,,"Nancy Exilas","Boulvard Jean Jacques Dessalines # 154 en Face Fontamara # 31A",,,"Haiti","Education",,,,,
"Organisation Jeunes Progressistes de Bolosse pour une Nouvelle Haiti","OJPBNH",,,"Delia Daniel","Boulvard Jean Jacques Dessalines 3eme Avenue Bolosse",,"710-3726","Haiti",,,,,,
"Ambassadeur des Jesus Ministères des chretiens","AJMC",,,"_______________","Boulvard Marin # 10, Renouvellement",,"710-6559","Haiti","Other",,,,,
"Association Zanmi Nou","AZN",,,"Gerard Pierre Marie","Boulvard Toussaint Louverture, Simon 3 A# 315",,"426-9080","Haiti",,,,,,
"Union des Patriotes pour le Renforcement de la Democratie","UPRED",,,"Jesula Vital","Boulvard ToussaintLouverture, Village Solidarité, 2 rue de la Paix "" Renouvellement""",,"402-6413","Haiti","Advocacy/Policy",,,,,
"Organisation pour le Developpement de la juvenat-bourdon","ODZJ",,,"Marie Jean Mona M. Exama","Bourdon",,,"Haiti",,,,,,
"Centre pour la Promotion de la Democratie et l'Education Participative","CPDEP",,,"Compt Saingère","Bourdon 193, Ceramique Plus",,"2245-4760","Haiti",,,,,,
"Organisation Communale de Ganthier pour le Developpement","OCOGAD",,,"Charles Jean Gabriel","Bourg de Ganthier, 10 rue st Pierre",,"414-3000","Haiti",,,,,,
"Gwoupman Peyizan Boujoli","GWOPEB-SUD",,,"felix Marie Carmelle","Bourjolly/5eme section communale des Cayes",,"3939-8306","Haiti",,,,,,
"Aides aux Mères et Enfants Necessiteux","AMEN",,,"___________________","Box 13299 Delmas, P-au-P Haiti",,,"Haiti","Women's Programs",,,,,
"Association des femmes Actives pour le Developpement de St Jean-du-Sude","AFADES",,,"Dominque Louise Analta","Boyer/ 3eme section communale de St Jean-du-Sud",,"3485-1965","Haiti","Women's Programs",,,,,
"Mouvement des Paysans de Boucan Carré","MPB",,,"Germain Bazelaire","Bozio, 3eme des Bayes, Boucan Carré",,"456-1166","Haiti","Arts & Culture",,,,,
"Consolidation des Citoyens pour le Développement d'Haiti","COCIDEH",,,"Dorelien Me Gabriel","Bozoton 8 # 26 en face Diquini 63, Carrefour",,"3729-2323","Haiti",,,,,,
"Fondation Monique ","F.M",,,"Fanélise JEAN","BP.1004,  P-au-P, HT6110",,"2245-9994","Haiti","Health, Education",,,,,
"Mission des Eglises Baptistes Indépendantes","MEBI",,,"Leslie G. HARRIS","BP.13338, Delmas",,,"Haiti","Education, Health",,,,,
"Reboisement Total ","RETO",,,"Jean-Pierre De SAINT-CHRISTO","BP.13409, Delmas",,,"Haiti","Agriculture",,,,,
"Club des Femmes de Carrières Libérales et Commerciales d'Haïti ","CFCLC",,,"Françoise ALLEN","BP.1418, P-au-P",,,"Haiti","Health, Education",,,,,
"Rhema International ","RI",,,"Korbin LAIMENGER             Joël SAINT-AMOUR  ","BP.15009, P-V",,"257-7058","Haiti","Education, Health",,,,,
"Fondation de l'Amitié Haïtiano Américaine  (Haitian American Friendship Foundation)","HAFF",,,"Greg Van SCHOYCK","BP.15281, Pétion-Ville",,,"Haiti","Education",,,,,
"Mission Pour Christ Inc. ","MPC,INC",,,"Beaullère SENE","BP.1541",,"234-3997","Haiti","Education, Health",,,,,
"Organisation Pour la Réhabilitation de l'Environnement ","ORE",,,"Monique P. FINNIGAN","BP.2314, P-au-P",,,"Haiti","Agriculture",,,,,
"Fondation des Associés pour le Développement Intégral de la Population de Pilate ","FADIPP",,,"Pierre L. JEAN","BP.2521, P-au-P",,,"Haiti","Health, Education",,,,,
"Habitat Pour l'Humanité, Inc ","HFU",,,"Arthur ALLEN RUSSEL          Chantal Hudicourt EWALD","BP.277, P-au-P",,,"Haiti","Housing                                                     ",,,,,
"Association Les Amis d'Haïti",,,,"Marc JAMIN","BP.858, P-au-P",,"245-5052","Haiti","Agriculture, Arts & Culture, Economic Development, Health",,,,,
"Eglise Evangélique Eben Ezer ","EEEE",,,"Michel MORISSET","BP.91, Gonaïves",,"274-0915 ","Haiti","Education, Health",,,,,
"Association d'Aide Sainte Famille aux Démunis","AASFAD",,,"Asneld Pierre Noël","BRC",,,"Haiti","Other",,,,,
