,,,,"name","acronym","no. inscription","date de reconnaissance","contact person","address","website","phone","base country","sector","location","alis notes","nationalite","no. du moniteur","notes"
222,,,,"Centre d'Education Communautaire Alternative","CECA","B-0398",10-Jul-2006,"Romuald MESIDOR","9 bis, Crist-roi, P-au-P",,"721-3839",,"Health, Education, ","Bas-Fond Philomène Delmas             Nazon",,"Haitian",,
229,,,,"Centre d'intervention, de réhabilitation, de recherche et d'expertise pour les victimes de violences","CIRREV",,,"Ms. Marie Desmousseaux","Rue M 4 Turgeau Port au Prince Haiti",,"245-1869",,"Health, Women's Programs, ",,,,,
231,,,,"Centre for Communication on AIDS","CECOSIDA",,,,"2 rue Tertulien Guilbaud Bourdon, Port au Prince Haiti",,,,"Health, HIV/AIDS, ",,,,,
233,,,,"Centre Haïtien de la Planification Familiale ","CHPF","B-0311",27-Feb-2003,"Evens FLEURIMOND","5, Mon Repos 36, Carrefour",,"234-0741",,"Health ","Carrefour",,"Haitian",,
239,,,,"Centre Médico-Popu-laire de Bas Fonds Philomène ","CMPBFP",,19-Jun-1986,"Paulette E. MONDESTIN","Entrée City Bank Delmas, Rue Mombrun # 3, BP.1538, P-au-P",,,,"Health, Education, Food Security",,,,"# 80  2/10/86",
240,,,,"Centre Medico-Social Henri  Gérard Desgranges ","CMSHGD","B-0284",20-Aug-2001,"M. Jean-Claude DESGRANGES","60, Rue Saint Paul, Petit-Goâve",,"245-1924",,"Health ","West: Petit-Goâve",,"Haitian",,
248,,,,"Centres Geskio (Groupe Haïtien d'Etudes du Sarcome de Kaposi et des Infections Opportunistes) ","LES CENTRES GESKIO","B-0198",20-Nov-1995,"Dr Jean William PAPE","33, Blvard Harry Truman",,"222-0031",,"Health ","Haïti",,"Haitian",,
249,,,,"Centres GHESKIO, groupe Haitien d'étude du Sarcome de Karposi et des infections Opportunistes",,,,,"33 Bicentenaire Port au Prince Haiti",,"222-0031",,"Health, HIV/AIDS, ",,,,,
251,,,,"Centres pour le Développement et la Santé ","CDS",,24-May-1989,"Dr Pierre P. DESPAGNE","4, Imp. Alexis, Musseau  cds_ong@hotmail.com",,"246-0961",,"Health, Education, Humanitarian Assistance","Cité Soleil",,"Haitian","# 58-A  9/7/90",
257,"q",,,"Child Care Haïti ","CCH","B-0199",20-Nov-1995,"Père Bunet CHERISOL","13, Rue Babiole",,"245-8571",,"Health, Agriculture, ","Baie de Henne, Mare-Rouge (North'West)",,"Haitian",,
263,,,,"Christian Children's Fund Inc. ","CCF",,23-Apr-1987,"Cécile GABOTON","26, Ave. Ducoste,                 BP.2454, P-au-P",,"222-6165",,"Health, Education, Economic Development",,,,"# 79  12/10/89",
264,,,,"Christian Haitian Outreach Inc ","CHO",,21-Aug-1984,"Dean VAN HOOSE","54, Rue Audant,Delmas 105",,"257-4399",,"Health, Education, Agriculture",,,"American","# 79  12/11/84",
,,,,"Christian Operation for Health, Education, and Development ","COFHED ",,,"chart@uwimona.edu.jm","PO BOX 4094 ST PAUL MN 55104-0094","www.cofhed.org","(651) 207-1544",,"Health, Education, Economic Development","South",,,,
266,,,,"Christian Reformed World Relief Committee ","CRWRC",,2-Feb-1987,"Andries Leendert de BLAEIJ","Delmas 77, Ruelle Praslin",,"246-1454",,"Health, Education, Agriculture","Artibonite, South'East, West",,"American Canadian","# 40  11/5/87",
267,,,,"Christian World Outreach, Inc","CWO",,20-Dec-1984,"Rév. Père Yves L. REGAILLARD","10, Imp Vieux, Carrefour Lyson,      Rte Ntle #1 Bon Repos",,"257-4399",,"Health, Education, Food Security",,,,"# 26    8/4/85",
276,,,,"Club des Femmes de Carrières Libérales et Commerciales d'Haïti ","CFCLC",,26-Apr-1989,"Françoise ALLEN","BP.1418, P-au-P",,,,"Health, Education, Advacy & Policy","West",,,"# 96  14/12/89",
277,,,,"Club Louverture pour les Diners du Tanksgiving Day Haïtien ","CLDTDH",,30-Apr-1985,"Rullin DESAMOURS","Cité Soleil, Rue Croix Bleue # 80, BP.2362,    P-au-P",,,,"Health, Education, Agriculture","Cité Soleil",,"Haitian","# 44, 27 Juin 1985",
281,,,,"Collaboration Santé International ","CSI","B-0322",27-May-2003,"Frère Jean-Baptiste CASSEUS","Angle Rue 7 et José Matti, Turgeau",,"402-3698",,"Health ","Brondeau                    Petite Rivière de Nippes",,"Canadian",,
292,,,,"Comité de Bienfaisance de Pignon","CBP",,14-Jun-1984,"Guy D. THEODORE","Pignon, Rue Donneur, BP.13206, Delmas",,,,"Health, Education, ","Pignon",,"Haitian","# 64, 6/9/85",
322,,,,"Convention Baptiste d'Haïti","CBH",,3-Aug-1984,"Marck RUTTEDGE","Route Nationale # 1, BP 2101, P-au-P",,"222-5289",,"Health, Economic Development, ",,,,"# 71, 4/10/84",
324,,,,"Cooperation Haitiano Neerlandaise ","COHAN",,8-Feb-1984,"Zucchi OLIBRIGE       Gérard MARTINEAU","Rue Soleil, Parc Industriel, BP.2395,        P-au-P ",,"245-6158",,"Health, Education, Agriculture",,,"Neerlandaise","# 26,    8/4/85",
"x",,,"c","Criox Rouge ",,,,"crorohamipc@haitiworld.com ","Rue Eden Bicentenaire Port-au-Prince Haiti","http://www.ifrc.org/ ","2223-1035",,"Health, Humanitarian Assistance, Disaster Risk Prepairdeness","International ",,,,
341,,,,"Cross International",,,,,,,,,"Health, Humanitarian Assistance, Disaster Risk Prepairdeness",,,,,
,,,,"CRUDEM Foundation","CRUDEM",,,,,"www.crudem.org",,,"Health ","Milot",,,,
349,,,"o","Délégation de la Croix Rouge Française",,,,"Arnaud Cloarec, Chef de Délégation/Head of Delegation","7 Rue François B.P. 15322 Petion-Ville, Haiti","E : mail : hod.haiti.frc@gmail.com, Web : www.croix-rouge.fr","3-477-6987",,"Health, Humanitarian Assistance, Disaster Risk Prepairdeness",,,,,
352,,,,"Development Activities And Services For Health ","DASH",,9-Jan-1986,"Ronald V. LAROCHE","87,Rue Oswald Durand, Delmas # 190, P-au-P",,,,"Health ","Saint Marc",,,"# 108, 28/12/87",
,,,,"Deworm the world",,,,"contact@dewormtheworld.org","91-93 route de la Capite, CH-1223 Cologny/Geneva, Switzerland","http://www.dewormtheworld.org/","41-(0) 22 869 1212","SWITZER","Health ",,,,,
,,,,"Direct Relief international",,,,"webmaster@directrelief.org","27 S. La Patera Lane, Santa Barbara, CA 93117","www.directrelief.org","805-964-4763","US","Health, HIV/AIDS, Woman's Programs",,,,,
371,,,,"Eglise de la Compréhension de la Bible ","ECB",,15-Mar-1984,"Robert DUNN","Delmas 65, Rue Pierrot # 3, P-au-P",,"257-0875",,"Health, Education, Humanitarian Assistance","Pétion-Ville",,,"# 71, 4/10/84",
378,,,,"Enfants du Monde, Haïti","EDM, HAITI","B-0387",23-Feb-2006,"M. Maurice FOURON"," Rue Marcadieu, Bourdon",,"245-5227",,"Health ","Artibonite",,"Swiss",,
381,,,,"Espoir Anaïse","EA","B-0202",20-Nov-1995,"Denize Z. DOUYON / Gladys LAUTURE","167, Ave Jn. Paul II, Turgeau, BP.322, P-au-P",,"245-6971",,"Health, Humanitarian Assistance, ","Haïti",,"Haitian",,
383,,,,"Espoir Sans Frontieres Haiti","ESFH","B-0412",4-Jan-2007,"Gertrude C. SEJOUR","28, Rue Gabart, Petion-Ville, B.P. 555",,"2257-4426",,"Health, Education, Economic Development","Kenscoff et ses environs",,"Africaine",,
385,,,,"Eye Care Haïti ","ECH","                                  ",26-Apr-1989,"Mireille JOLICOEUR         Marcelle MALARY","Rue Paul VI, Ecole St. Vincent, BP.1319, P-au-P,  BP.13304, Delmas",,"222-6085",,"Health ",".West                       .North'West                               .South-East",,"Haitian","# 66, 28/8/89",
386,"q",,,"Family Health International","FHI","B-0428",5-Dec-2007,"M. Jean Robert BRUTUS","37, Rue Fernand, Canapé-Vert",,"2245-1092",,"Health ","Couverture Nationale Campêche, dispensaire de Jean XIII, de Laborde et HUEH ",,"American",,
400,,,,"Fédération Haitian des Associations et Institutions des Personnes Handicapées d'Haïti","FHAIPH","B-0418",24-May-2007,"Jean Chevalier SANON","406, Route de Delmas",,"454-0281",,"Health, Advocacy & Policy, ","Département de l'West",,"Haitian",,
411,,,,"Fondation Amour de Dieu en Action","FADA","B-0185",29-May-1995,"Rév. Arsène BOUILLY","141 bis,  Fort Mercredi Prolongé Gressier (Christianville)                      BP 937,   P-au-P         ",,"554-8007",,"Health, Education, ","l'West (Gressier)",,"Haitian","# 91, 17/11/94",
413,,,,"Fondation Bienfaisance","F.B","B-0423",13-Jul-2007,"M. Gesner CESAR","105, Ave N prolongée,                            Port-au-prince",,"401-0436",,"Health, Education, ","Campêche et ses environs",,"Haitian",,
414,,,,"Fondation Biomedicale Haitian ","FBH",,9-Jan-1989,"Emile JEAN-BAPTISTE",,,,,"Health ",,,,"# 18,   2/3/89",
424,,,,"Fondation de l'Oeuvre des Artisans de Paix d'Haïti/Zèv Atizan Lapè","ZAL","B-0359",8-Sep-2004,"M.André MARTIN","6, Ruelle Icart (Lalue) ",,"245-6353",,"Health, Humanitarian Assistance, ","Mariani (Commune de Gressier)",,"Canadian",,
425,,,,"Fondation des Associés pour le Développement Intégral de la Population de Pilate ","FADIPP",,6-Nov-1984,"Pierre L. JEAN","BP.2521, P-au-P",,,,"Health, Education, ","Pilate",,"Haitian","# 3, 10/01/85",
432,,,,"Fondation For Wordwide Mercy And Sharing","FFWMS","B-0385",23-Feb-2006,"Gary DOWNEY / Carol HORN","2, Rue Pierre-Louis, Tabarre 16",,"510-4730",,"Health ","Port-au-Prince ",,"American",,
434,,,,"Fondation Grann Lison ","FGL","B-0331",21-Aug-2003," Alexandre ROCHENEL","4, Rue Baussan , Local Père Monfortains",,"403-4049",,"Health, Humanitarian Assistance, ","Jean-Rabel",,"Haitian",,
435,,,,"Fondation Haiti en Action ","FOHA","B-0275",25-Sep-2000,"Mme Carline Prosper CADET","No. 227, Blvd Jn. Jacques Dessalines",,"222-1822",,"Health, Education, ","Port-au-Prince",,"Haitian",,
439,,,,"Fondation Haitian de la Santé ","FHS",,9-Aug-1984,"Soeur Maryann BERARD","Evéché de Jérémie",,"284-5216",,"Health ","Grand'Anse",,"Haitian","# 103, 12/12/88",
440,,,,"Fondation Haitian de la Santé et de l'Education ","FHSE",,30-Aug-1984,"Joanne STEPHENSON        Dr Edith D. HUDICOURT","Rue Audant, Route de Frères, B.P 1471",,"257-4505",,"Health, Education, ","West",,"Haitian","# 3, 10/01/85",
447,,,,"Fondation Internationale Lifeline Haïti","FILH",,9-Jul-1984,"Esther ROCOURT      Ducheine FORTUNE","Blvd. Harry Truman Immeuble Assocation des Chauffeurs Guides d'Haïti, BP11320, Carrefour",,"2341619 2",,"Health, Education, Agriculture","Pétion-Ville Carrefour               Jérémie",,"American","# 70, 01/10/84",
449,,,,"Fondation la Providence ","FP","B-0178",31-May-1995,"Junie GEORGES","5, Rue Alphée, Delmas 71",,"246-5211",,"Health, Education, Agriculture","Plaine du Cul de Sac (Croix-des-Bouquets), Limonade",,"Haitian","28/8/95",
453,,,,"Fondation Max Cadet","FMC","B-0408",25-Sep-2006,"Geneviève CADET","Communauté Ste Marie, Rte du Canapé-Vert",,"244-5208",,"Health ","Port-au-Prince Pétion-Ville      Delmas                                 Canapé-Vert Artibonite ",,"Haitian",,
455,,,,"Fondation Monique ","F.M","B-0301",24-Oct-2002,"Fanélise JEAN","BP.1004,  P-au-P, HT6110",,"2245-9994",,"Health, Education, Humanitarian Assistance","Port-au-Prince",,"Haitian",,
460,,,,"Fondation Pédodontique d'Haïti ","FPH",,24-Jul-1984,"Dantès KEBRAU","Cité de l'exposition, bloc Martissant, BP.2553, P-au-P",,"222-4357",,"Health ","West",,"Haitian","# 71,  4/10/84",
,,,"lo","Fondation pour la Sante Reproductrice et l'Education Familiale","FOSREF",,,"Dr Fritz Moise : Executive Director  FOSREF, fritzmoise@yahoo.com, fmoise@fosref.org, ","30, Rue Debussy, Port-au-Prince","www.fosref.org","22 45 04","Haiti","Health, Women's Programs, HIV/AIDS","Entire Country (all 10 departments)",,"Haiti",,
464,,,,"Fondation pour la Survie de l'Enfant Haïtien ","FSEH","B-0186",12-Jun-1995,"Marlène MATHURIN","C/o Valentine outreach (VOC) # 10, Rue Pierre-Louis, Poste Cazeau, B.P.13235, Delmas",,"246-3004",,"Health, Education, ","North               South'East                                      West            Grand'Anse",,"Haitian",,
465,,,,"Fondation pour l'Avancement des Collectivités Haitians ","FONACHA","B-0207",20-Nov-1995,"Yves JOSE","102, Turgeau, P-au-P",,"245-8517",,"Health, Economic Development, ","Grand'Anse              Anse d'Hainault",,"Haitian","# 31, 174/95",
466,,,,"Fondation pour les Enfants d'Haïti ","FEH",,15-Jun-1993,"Gladys SYLVESTRE","Delmas 75, Rte Fragnauville, P-au-P",,"246-5056",,"Health ","West",,"Haitian",,
472,,,,"Fondation Terre des Hommes ","FTH","B-0339",8-Oct-2003,"M. Ludovic QUEUILLE","Rue Toussaint Louverture, les Cayes                               tdhcayes@hotmail.com",,"286-0078",,"Health ","Dépt. Du South, Cayes et zone rurales",,"Swiss",,
480,,,,"Fonds Chrétien d'Investissement pour le Développement Economique et Social","FOCIDES","B-0357",8-Sep-2004,"M. Fritz CADET","95, Rue Borgella, Port-au-Prince",,"402-7461",,"Health, Humanitarian Assistance, ","Port-au-Prince  Cazale (4e sect. com. De Cabaret) Angibeau (commune de carrefour)",,"Haitian",,
510,,,,"Foundation of Compassionate American Samaritans ","FOCAS","B-0327",23-Jul-2003,"Micheline BAGUIDY","41, Rue Borno, P-V",,"257-5962",,"Health ","3ème, 4ème, 6ème et 7ème sections communales de Pétion-Ville",,"American",,
535,,,,"Grand'Anse projet santé et Action Communautaire ","GAPSAC"," B-0291",19-Mar-2002,"M. Vernon Jean ","132, rue Frère Portier, Dame Marie     # 37, rue Audan Pétion-Ville, BP.15218",,"404-9171",,"Health ","Grand'Anse: Dame-Marie  Anse-d'hainault, les Irois",,"Haitian",,
,,,"x","Green Family Foundation",,,,"Kimberly Green","2601 South Bayshore Drive, 9th Floor, Coconut Grove, FL, 33133","www.greeenff.org","305.905.7210","USA","Health, Economic Development, ","Across the country",,"USA",,"The Green Family Foundation provides funding and resources to organizations that support education, global health and community development. They support grassroots initiatives that provide quality care to those in need by focusing on prevention, education and treatment."
550,,,,"Groupe de Recherche d'Initiatives pour un Développement Alternatif et Participatif","GRIDAP","B-0419",26-Jun-2007,"Jowel Erns JEAN-PIERRE","10, Impasse Nane, Rue Armand Holly, Débussy",,"455-4367",,"Health ","Kenscoff",,"Haitian",,
559,,,,"Groupe Multidiciplinaire pour un Développement Integré ","MUDI","B-0305",25-Nov-2002,"Wolf JEAN-PHILIPPE","44, Rue Chavanne, Pétion-Ville",,"257-2976",,"Health ","Chansolme",,"Haitian",,
575,,,,"Haïti Med e.v.  ","H-MED","B-0296 ",19-Mar-2002,"Mme Yvette B. OSTAINVIL","7, impasse St Juste, Christ-Roi",,"244-1339",,"Health ","West: Cabaret,  Titanyin",,"German",,
,,,,"Haiti Village Health",,,,"haitivillagehealth@gmail.com (Dr. Tifany Keenan)","Sanddollar, 7 Marley Beach Dr., Warwick WK 08, Bermuda","www.haitivillagehealth.ca","441-599-9913","Bermuda","Health ","in Bod Me Limbe",,,,
,,,"x","Haitian Group for the Study of Kaposi's Sarcoma ","GHESKIO",,,"Dr. Jean William Ppae, directeur executif","33 boulevard Harry Truman, Port au Prince Hait 6110","administration@gheskio.org","2222-0031","Haiti","Health, HIV/AIDS, ",,,"Haitian",,"GHESKIO is a Haitian non-governmental organization dedicated to clinical service, research, and training in HIV/AIDS and related diseases. Working in partnership with the Haitian Government, GHESKIO provides integrated primary care services, including HIV counseling, AIDS care, prenatal care, and management of tuberculosis and sexually transmitted infections.  Through the conduct of research, GHESKIO defines HIV/AIDS treatment and prevention models for Haiti.  Through training, GHESKIO expands these models to the national level. "
,,,,"Haitian Health Care Foundation","HHCF",,,"vabatt@aol.com","Box 681, Richmond, VA 23218--681","www.haitianhealth.org",,,"Health ","in Hinche, Lacolline and Lascahobas",,,,
"x",,,"c","Haitian Health Foundation","HHF ",,,,,"http://www.haitianhealthfoundation.org/ ",,,"Health "," ",,,,
586,,,,"Haitian Medical Association","AMH",,,,"33, 1ere Avenue du travail, Port au Prince, Haiti","amh@haitiworld.com",,,"Health ",,,,,
590,,,,"Haitian Resource Development Foundation","HRDF",,14-Apr-1994,"M. Georges MOISE","17, 2e Ruelle Wilson, Pacot",,"245-4117",,"Health, Education, ",,,"Haitian","16/6/94",
594,,,,"Healing Hands For Haïti ","HHFH","B-0337",22-Sep-2003,"Yves Cadet","370, Ave John Brown, Bourdon",,"245-6548",,"Health ","Port-au-Prince              Cayes",,"Haitian",,
,,,"x","Hopital Albert Schweitzer","HAS",,,"Riche Zamor, Sr, richezamor@gmail.com","10 Rue Clercine, Cazeau, Port-au-Prince, Haiti","www.hashaiti.org","2238.114",,"Health ","Deschapelles, Artibonite Valley",,,,"Hôpital Albert Schweitzer (HAS) is a model for health care facilities in developing countries around the world. An integrated rural health system, HAS provides medical care and community health and development programs for more than 300,000 impoverished people in the Artibonite Valley of central Haiti. Visiting medical professionals from North America and abroad work with a permanent Haitian staff of almost 550. "
,,,"x","Initiative Développement ","ID","B-0203",20-Dec-1995,"Isabelle FAUCON, i.faucon@id-ong.org","Belvil 7","http://www.id-ong.org/decouvrir/pays/haiti/31PACOBHaiti.htm","510-8845",,"Health, Agriculture, ","Artibonite                  North'West",,"French",,
622,,,,"Institut Fame Pereo et le Cardinal Léger et ses Oeuvres ","IFP/CLO ",,6-Sep-1984,"Gilles CHARLEBOIS","160, Ave. Poupelard ,                         BP.1336, P-au-P",,,,"Health, Education, Water & Sanitation",".Santé",,"Haitian","# 3, 10/01/85",
626,,,,"Institut Haïtien de Santé Communautaire ","INHSAC",,4-Mar-1987,"Jean-Robert BRUTUS","Angle Rues Rigaud et Lambert, Pétion-ville B.P13408",,"257-9100",,"Health ",,,,"# 71-A, 31/8/87",
638,,,,"Interchurch Medical Assistance ","IMA","B-0434",28-Feb-2008,"M. Ambroise JEAN SYLVAIN","14, Impasse Hérard, Delmas 75",,"3448-0577",,"Health ","Cap-Haïtien, Plaisance, Limbé. Port-Margot, Acul-du-North",,"American",,
640,,,,"International Alliance For Health And Social Development, Inc ","IAHSD ","B-0246",3-Jul-1995,"Ketty Hyppolite REY","6, Rue Salomon, Christ-Roi, P-au-P",,"245-2702",,"Health ","Port-au-Prince et ses Environs",,"Haitian",,
645,,,,"International Missionary Fellowship ","IMF",,26-Aug-1985,"Steve LEACH","Hôpital Evangélique de Bombardopolis, BP.13480 Delmas,        P-au-P",,,,"Health ","Bombardopolis",,"American","# 70, 3/10/85",
646,,,,"International Missions Outreach","IMO",,5-Jul-1985,"John HANSON","Delmas 75, Angle Rues Dalia&Faustin 1er",,"246-3816",,"Health, Education, ",,,"American","# 66, 19/9/85",
647,,,,"International Office of Ecumenacal Relief of Evangelistic Family Ministries ","EREFMIO",,7-Nov-1988,"Jeanine THEARD","267, Blvd. J.J. Dessalines, P-au-P",,"222-9824",,"Health, Humanitarian Assistance, ",,,,,
,,,"gc","Int'l Committee of the Red Cross","ICRC",,,,"19 avenue de la Paix CH 1202 Geneva","http://www.icrc.org/","41 (22) 734 60 01",,"Health ",,,,,
662,,,,"Kalfou Aksyon Pou Devlopman Ak Dwa Moun ","KADD","B-0349",15-Apr-2004,"Voltaire INNOCENT              Rév. Voltaire Yves","Ave. MArtin Luther King, Imp. Alouette # 12",,"407-2244",,"Health ","Miragoâne",,"Haitian",,
689,,,,"Les Brebis de Lumiere","LBL","B-0445",9-Sep-2008,"Past. Soimilus MERSILUS","30, Rue Rebecca, Petion-Ville Lumierelbl@yahoo.fr      lesbrebis02@yahoo.fr",,"3557-4149",,"Health, Humanitarian Assistance, ","West (Petion-Ville)                              Centre",,"Haitian",,
694,,,,"Lifeline Christian Mission ","LCM","B-0170",28-Dec-1994,"Pierre-Paul Joseph GEORGES","Grand-Goâve, P.O.Box13004, rue de l'Enterrement # 51",,"287-0064",,"Health, Water & Sanitation, ","Grand-Goâve",,"Haitian","# 48-A, 22/6/94",
697,,,,"Light Ministries Inc ","LMI",,17-Nov-1988,"Terry G. NELSON","71, Thor 67, Carrefour, P-au-P",,"234-3875",,"Health, Food Security, ",,,,"# 27-A,  3/4/89",
698,,,,"Ligue Anti Anénie Falciforme","LAAF",,21-Jan-1989,"Jean FLEURIVAL","181, Rue capois, P-au-P",,"223-9553",,"Health ","Port-au-Prince",,"Haitian","# 72, 18/9/89",
700,,,,"Ligue Haitian des Combattants de la Misère ","LIHACOM",,26-Apr-1989,"Patrick BRUTUS",,,,,"Health, Education, ","West",,"Haitian","# 60, 7/8/89",
708,,,,"Management Sciences For Health","MSH","B-0433",27-Feb-2008,"M. Paul AUXILA","5, Impasse Prosper, Bourdon",,"2510-990",,"Health ","Haïti",,"American",,
,,,"x","Medecins du Monde Canada","MDM-C",,23-Feb-2006,"Mme Claire MAINVILLE","49, Rue Pacot Prolongé assist_adm_mdmca_ht@yahoo.ca","http://www.medecinsdumonde.org/fr/nos_missions/etranger/haiti","01 44 92 15 15",,"Health ","Cité Soleil",,,"# 48,  16/6/86 ",
716,,,,"Medecins du monde Suisse","MDM CH",,,"Carine Langlade Philippe","11, rue Camille Leon , Bois Verna, Port au Prince","Mdm-haiti@yahoo.com","3421-5611",,"Health, Food Security, ","Grnad Goave, Petit Goave",,,,
717,,,,"Médecins du Monde, France","MDM,F","B-0274",25-Sep-2000,"Mme Sophie LASSERRE","4, Rue M, Turgeau, P-au-P",,"245-1869",,"Health ","Grande Anse",,"French",,
718,,,,"Medecins du Monde, Swiss","MDM-S","B-0429",5-Dec-2007,"Geneviève FUKS","11, Rue Camille Léon, Bois Verna",,"2245-1698",,"Health ","Grand-Goâve",,"Swiss",,
719,,,,"Médecins Sans Fontières France ","MSF","B-0255",26-Mar-1997,"M. Yann LIBESSART","2, Angle Pacot et Ave N,   P-au-P,   BP.15330, P-V",,"244-1492",,"Health ","Cap-Haïtien",,"French",,
721,,,,"Médecins Sans Frontières Belgique ","MSFB","B-0231",4-Mar-1996,"Philippe HAMEL","7, Rue Borno, Pétion-Ville, B.P 15330",,"512-5839",,"Health ","Saint-Marc                                 ",,"Belgian",,
722,,,,"Médecins Sans Frontières Hollande ","MSFH","B-0201",20-Nov-1995,"Raphaele KRATTINGER","9, Rue Reinbold, Bourdon",,"245-4202",,"Health ","Ile de la Gonâve, Hinche",,"Dutch",,
728,,,,"Mennonite Central Committee ","MCC",,4-Aug-1984,"Edwin DENING","14, Impasse Hérard, Delmas 75, BP.2160, P-au-P",,"246-1739",,"Health, Agriculture, Economic Development","North                  Artibonite",,"American","# 68,  20/9/84",
768,,,,"Mouvman Organizasyon Zanmy Lakay ","MOZAL","B-0351",15-Apr-2004,"Macul DEVALIS","82, La Fleur du Chêne (à l'étage)",,"223-2913",,"Health ","Jérémie",,"Haitian",,
783,,,,"Nova Hope For Haïti","NHH","B-0410",4-Jan-2007,"Solanges Auguste TOUSSAINT","310, Bourdon, Port-au-Prince",,"244-8281",,"Health ","Cavaillon",,"American",,
790,,,,"Oeuvre de Bienfaisance de Carrefour et de Gressier ","OBCG",,,"Dr. Dorfeuille Beatrice","16 brochette 99, carrefour, Telefon","obcg88@hotmail.com, dorbel1@yahoo.fr","3445-1431",,"Health, Education, ","West",,"Haitian",,
1116,,,,"Operation Blessing International","OBI",,,"Bill Horan","977 Centerville Turnpike, Virginia Beach, VA 23463 bill.horan@ob.org","www.ob.org","757-226-3",,"Health, Humanitarian Assistance, Economic Development",,,,,
,,,,"Operation Smile",,,,,"6435 Tidewater Dr., Norfolk, VA 23509","www.operationsmile.org","888-677-6","U.S.","Health ",,,,,
810,,,,"Operations Sodec ","OS",,9-Apr-1986,"Henry CHERY","140, Ave. Martin Luther King, BP.1545, P-au-P         sodechopital@hotmail.com www.sodecinternational.com",,"245-5041",,"Health, Education, Humanitarian Assistance","West                        South-East",,"Haitian","# 48,   16/6/86",
817,,,,"Organisation Chrétienne pour le Développement Social ","OCDS","B-0194",18-Aug-1995,"Jean Wilfrid PRADIEU","1, Rue St. Lot, Imp. Puceron, Delmas 18",,"222-4718",,"Health, Agriculture, Education","Haïti",,"Haitian",,
822,,,,"Organisation de la Mission Evanagélique Salem ","OMES","B-0172",10-Apr-1995,"Hervé GEORGES","58, Thor 65, Carrefour",,"405-7055",,"Health, Agriculture, Education","Léogane",,"Haitian",,
823,,,,"Organisation de l'Union Haitian ","OUH","SS-006",13-Nov-2002,"Jean-Jaroi PETIT","1, Imp. Lavaud, Lalue",,"557-1931",,"Health ","Arcahaie",,"Canadian",,
830,,,,"Organisation Nationale de Développement Economique et Social ","ONDES",,9-May-1989,"Beauvoir EDMOND","9, Rue Légitime (Edifice SONAPI),           P-au-P",,"222-5233",,"Health, Education, Humanitarian Assistance",,,"Haitian","# 36, 11/5/1989",
835,,,,"Organisation pour le Développement des Paysans Haïtiens ","ODEPAH","B-0330",23-Jul-2003,"Jeannot TOUSSAINT","8, Rue Durandis, Faustin 1er, Delmas 75",,"246-3694",,"Health, Education, ","West                         Artibonite      Grand'Anse",,"Haitian",,
837,,,,"Organisation pour le Développement National et l'Evangélisation ","ODNE","B-0175",10-Apr-1996,"Rév. Cossy ANDRE","Carrefour,  Ruelle Sapotille ",,,,"Health, Agriculture, Education","North",,"Haitian",,
842,,,,"Organisation Rome Haïti","ORH","B-0300",29-Jul-2002,"M. Christian Emmanuiel SANON","56, Blvd. 15 Octobre, Tabarre",,,,"Health ","Delmas",,"Haitian",,
843,,,,"Organisation Sové Lavi","OSL","B-0361",13-Oct-2004,"Dumarsais M. SIMEUS","94, Rte Nle # 1, Pond Sondé",,"274-2419",,"Health ","Pond Sondé (St. Marc)",,"Haitian",,
876,,,,"Parish Twinning Program of the Americas","PTPA","B-0386",23-Feb-2006,"M. Domond BERTONY / Mme Théresa PATTERSON","Rue A. Martial, Delmas 33",,"246-3717",,"Health ","Petite Rivière de Nippes",,"American",,
,,,"x","Partners In Health","PIH",,,"Ophelia Dahl, odahl@pih.org","888 Commonwealth Avenue, 3rd Floor, Boston, MA 02215","www.pih.org","617.432.256","USA","Health, Humanitarian Assistance, Human Rights","Central Plateau",,"USA",,"Partners In Health (PIH) is dedicated to improving health care for the poor. In addition to providing a wide range of medical services, including treatment for infectious diseases like HIV/AIDS and TB, our programs tackle the twin epidemics of poverty and disease, providing the highest level of clinical care possible while alleviating the social and economic burdens of poverty that create obstacles to health. In Haiti, PIH provides care through 10 clinic sites to a catchment area of 1.2 million. "
886,,,,"People to People Health Foundation, Inc ","PROJECT HOPE","B-0224",18-Jan-1996,"Annie THELUSMOND","Centre Médical Crudem, Milot, Haïti",,,,"Health ","North (Milot)",,"American",,
887,,,,"Phare National ","PHARNA","B-0306",25-Nov-2002,"André JEAN ALIX","261, route de Delmas (coin delmas 49)",,"550-8087",,"Health, Economic Development, ","Département de l'West",,"Haitian",,
888,,,,"Pharmaciens Sans Frontières-Comité International","PSF-CI","B-0417",7-May-2007,"Ludovic DESCHAMPS DE SAINT LEGER","10, Impasse Terminus, Delmas 81",,"510-2406",,"Health ","Département de l'Artibonite",,"French",,
918,,,,"Programme de Santé et Information ","PSI/HAITI","B-0216",14-Dec-1995,"Michèle R. CATO","Angle Rues Louissaint&Célie, Bourdon, BP 1169, P-au-P",,"245-6235",,"Health ","Haïti",,"Haitian",,
